LU全て
|   year |   Count |   Cumulative Sum |   Percentage (%) |
| fire fighting.n              |       3 |            26498 |            91.56 |
| father.n                     |       3 |            26501 |            91.57 |
| final.a                      |       3 |            26504 |            91.58 |
| renounce.v                   |       2 |            26506 |            91.59 |
| pink.a                       |       2 |            26508 |            91.59 |
| partner.n                    |       2 |            26510 |            91.6  |
| sector.n                     |       2 |            26512 |            91.61 |
| relaxation.n                 |       2 |            26514 |            91.61 |
| materialize.v                |       2 |            26516 |            91.62 |
| pioneer.n                    |       2 |            26518 |            91.63 |
| recover.v                    |       2 |            26520 |            91.63 |
| passport.n                   |       2 |            26522 |            91.64 |
| neutral.a                    |       2 |            26524 |            91.65 |
| pressure.v                   |       2 |            26526 |            91.66 |
| round.n                      |       2 |            26528 |            91.66 |
| penalty.n                    |       2 |            26530 |            91.67 |
| release.n                    |       2 |            26532 |            91.68 |
| professor.n                  |       2 |            26534 |            91.68 |
| recreation.n                 |       2 |            26536 |            91.69 |
| maker.n                      |       2 |            26538 |            91.7  |
| paper [newspaper].n          |       2 |            26540 |            91.7  |
| oasis.n                      |       2 |            26542 |            91.71 |
| perpetrate.v                 |       2 |            26544 |            91.72 |
| pitch.v                      |       2 |            26546 |            91.72 |
| probe.v                      |       2 |            26548 |            91.73 |
| nurse.n                      |       2 |            26550 |            91.74 |
| paint.v                      |       2 |            26552 |            91.75 |
| marijuana.n                  |       2 |            26554 |            91.75 |
| revisit.v                    |       2 |            26556 |            91.76 |
| seal.n                       |       2 |            26558 |            91.77 |
| pack.v                       |       2 |            26560 |            91.77 |
| notify.v                     |       2 |            26562 |            91.78 |
| no.art                       |       2 |            26564 |            91.79 |
| northwest.n                  |       2 |            26566 |            91.79 |
| render.v                     |       2 |            26568 |            91.8  |
| prior.a                      |       2 |            26570 |            91.81 |
| manual.n                     |       2 |            26572 |            91.81 |
| ninety.num                   |       2 |            26574 |            91.82 |
| pail.n                       |       2 |            26576 |            91.83 |
| roof.n                       |       2 |            26578 |            91.84 |
| package.n                    |       2 |            26580 |            91.84 |
| mane.n                       |       2 |            26582 |            91.85 |
| reef.n                       |       2 |            26584 |            91.86 |
| non-proliferation.n          |       2 |            26586 |            91.86 |
| marriage.n                   |       2 |            26588 |            91.87 |
| press.v                      |       2 |            26590 |            91.88 |
| persuade.v                   |       2 |            26592 |            91.88 |
| probability.n                |       2 |            26594 |            91.89 |
| northernmost.a               |       2 |            26596 |            91.9  |
| probable.a                   |       2 |            26598 |            91.9  |
| sack.v                       |       2 |            26600 |            91.91 |
| roll.v                       |       2 |            26602 |            91.92 |
| ruin.v                       |       2 |            26604 |            91.92 |
| procure.v                    |       2 |            26606 |            91.93 |
| peculiar.a                   |       2 |            26608 |            91.94 |
| producer.n                   |       2 |            26610 |            91.95 |
| massacre.n                   |       2 |            26612 |            91.95 |
| product.n                    |       2 |            26614 |            91.96 |
| outside.n                    |       2 |            26616 |            91.97 |
| monitoring.n                 |       2 |            26618 |            91.97 |
| prohibition.n                |       2 |            26620 |            91.98 |
| military forces.n            |       2 |            26622 |            91.99 |
| punish.v                     |       2 |            26624 |            91.99 |
| sense.n                      |       2 |            26626 |            92    |
| point.v                      |       2 |            26628 |            92.01 |
| participant.n                |       2 |            26630 |            92.01 |
| move.n                       |       2 |            26632 |            92.02 |
| pull.v                       |       2 |            26634 |            92.03 |
| position.n                   |       2 |            26636 |            92.04 |
| millimeter.n                 |       2 |            26638 |            92.04 |
| mill.v                       |       2 |            26640 |            92.05 |
| position.v                   |       2 |            26642 |            92.06 |
| possession [of goods].n      |       2 |            26644 |            92.06 |
| park[2].n                    |       2 |            26646 |            92.07 |
| rapid.a                      |       2 |            26648 |            92.08 |
| multinational.a              |       2 |            26650 |            92.08 |
| possession.n                 |       2 |            26652 |            92.09 |
| pathetic.a                   |       2 |            26654 |            92.1  |
| performance.n                |       2 |            26656 |            92.1  |
| poetry.n                     |       2 |            26658 |            92.11 |
| shadowy.a                    |       2 |            26660 |            92.12 |
| origin.n                     |       2 |            26662 |            92.13 |
| originate.v                  |       2 |            26664 |            92.13 |
| shah.n                       |       2 |            26666 |            92.14 |
| satisfied.a                  |       2 |            26668 |            92.15 |
| rife.a                       |       2 |            26670 |            92.15 |
| scope.n                      |       2 |            26672 |            92.16 |
| quest.n                      |       2 |            26674 |            92.17 |
| monthly.a                    |       2 |            26676 |            92.17 |
| onset.n                      |       2 |            26678 |            92.18 |
| seriously.adv                |       2 |            26680 |            92.19 |
| operational.a                |       2 |            26682 |            92.19 |
| race.n                       |       2 |            26684 |            92.2  |
| researcher.n                 |       2 |            26686 |            92.21 |
| moratorium.n                 |       2 |            26688 |            92.22 |
| modification.n               |       2 |            26690 |            92.22 |
| scarce.a                     |       2 |            26692 |            92.23 |
| questionable.a               |       2 |            26694 |            92.24 |
| modernization.n              |       2 |            26696 |            92.24 |
| poisonous.a                  |       2 |            26698 |            92.25 |
| parish.n                     |       2 |            26700 |            92.26 |
| queen.n                      |       2 |            26702 |            92.26 |
| on.adv                       |       2 |            26704 |            92.27 |
| mobile.a                     |       2 |            26706 |            92.28 |
| police.n                     |       2 |            26708 |            92.28 |
| reservoir.n                  |       2 |            26710 |            92.29 |
| series.n                     |       2 |            26712 |            92.3  |
| separate.v                   |       2 |            26714 |            92.31 |
| pursuer.n                    |       2 |            26716 |            92.31 |
| schoolteacher.n              |       2 |            26718 |            92.32 |
| post office.n                |       2 |            26720 |            92.33 |
| plight.n                     |       2 |            26722 |            92.33 |
| record.v                     |       2 |            26724 |            92.34 |
| near thing.a                 |       2 |            26726 |            92.35 |
| outhouse.n                   |       2 |            26728 |            92.35 |
| rebellion.n                  |       2 |            26730 |            92.36 |
| mechanism.n                  |       2 |            26732 |            92.37 |
| native.a                     |       2 |            26734 |            92.37 |
| precipitate.v                |       2 |            26736 |            92.38 |
| naval.a                      |       2 |            26738 |            92.39 |
| mechanical.a                 |       2 |            26740 |            92.39 |
| outlaw.v                     |       2 |            26742 |            92.4  |
| repeated.a                   |       2 |            26744 |            92.41 |
| revolutionary.n              |       2 |            26746 |            92.42 |
| promising.a                  |       2 |            26748 |            92.42 |
| pray.v                       |       2 |            26750 |            92.43 |
| outline.v                    |       2 |            26752 |            92.44 |
| measures.n                   |       2 |            26754 |            92.44 |
| prehistoric.a                |       2 |            26756 |            92.45 |
| outset.n                     |       2 |            26758 |            92.46 |
| obey.v                       |       2 |            26760 |            92.46 |
| revolt.n                     |       2 |            26762 |            92.47 |
| preparation.n                |       2 |            26764 |            92.48 |
| rent.v                       |       2 |            26766 |            92.48 |
| renowned.a                   |       2 |            26768 |            92.49 |
| rush.v                       |       2 |            26770 |            92.5  |
| reassurance.n                |       2 |            26772 |            92.51 |
| rush hour.n                  |       2 |            26774 |            92.51 |
| provision.n                  |       2 |            26776 |            92.52 |
| select.v                     |       2 |            26778 |            92.53 |
| poster.n                     |       2 |            26780 |            92.53 |
| postpone.v                   |       2 |            26782 |            92.54 |
| murderer.n                   |       2 |            26784 |            92.55 |
| shape.n                      |       2 |            26786 |            92.55 |
| merchandise.n                |       2 |            26788 |            92.56 |
| reach.n                      |       2 |            26790 |            92.57 |
| periodic.a                   |       2 |            26792 |            92.57 |
| reaction.n                   |       2 |            26794 |            92.58 |
| scrub.n                      |       2 |            26796 |            92.59 |
| prosperous.a                 |       2 |            26798 |            92.6  |
| ottoman.n                    |       2 |            26800 |            92.6  |
| medium.a                     |       2 |            26802 |            92.61 |
| proposal.n                   |       2 |            26804 |            92.62 |
| shield.v                     |       2 |            26806 |            92.62 |
| shift.n                      |       2 |            26808 |            92.63 |
| reaffirm.v                   |       2 |            26810 |            92.64 |
| plastic explosive.n          |       2 |            26812 |            92.64 |
| rhythm.n                     |       2 |            26814 |            92.65 |
| replica.n                    |       2 |            26816 |            92.66 |
| rear.n                       |       2 |            26818 |            92.66 |
| restart.v                    |       2 |            26820 |            92.67 |
| quit.v                       |       2 |            26822 |            92.68 |
| proof.n                      |       2 |            26824 |            92.69 |
| reliance.n                   |       2 |            26826 |            92.69 |
| shore.n                      |       2 |            26828 |            92.7  |
| tie.v                        |       2 |            26830 |            92.71 |
| defenses.n                   |       2 |            26832 |            92.71 |
| delay.n                      |       2 |            26834 |            92.72 |
| delicious.a                  |       2 |            26836 |            92.73 |
| demolition.n                 |       2 |            26838 |            92.73 |
| depot.n                      |       2 |            26840 |            92.74 |
| description.n                |       2 |            26842 |            92.75 |
| designated.a                 |       2 |            26844 |            92.75 |
| despite.prep                 |       2 |            26846 |            92.76 |
| tobacco.n                    |       2 |            26848 |            92.77 |
| destiny.n                    |       2 |            26850 |            92.77 |
| details.n                    |       2 |            26852 |            92.78 |
| devastating.a                |       2 |            26854 |            92.79 |
| devastation.n                |       2 |            26856 |            92.8  |
| thwart.v                     |       2 |            26858 |            92.8  |
| defect.v                     |       2 |            26860 |            92.81 |
| diminish.v                   |       2 |            26862 |            92.82 |
| direct.v                     |       2 |            26864 |            92.82 |
| disable.v                    |       2 |            26866 |            92.83 |
| disagreement.n               |       2 |            26868 |            92.84 |
| through.prep                 |       2 |            26870 |            92.84 |
| disappearance.n              |       2 |            26872 |            92.85 |
| throng.n                     |       2 |            26874 |            92.86 |
| disclosure.n                 |       2 |            26876 |            92.86 |
| discourage.v                 |       2 |            26878 |            92.87 |
| disperse.v                   |       2 |            26880 |            92.88 |
| distant.a                    |       2 |            26882 |            92.89 |
| distinct.a                   |       2 |            26884 |            92.89 |
| distinctive.a                |       2 |            26886 |            92.9  |
| defender.n                   |       2 |            26888 |            92.91 |
| decry.v                      |       2 |            26890 |            92.91 |
| theft.n                      |       2 |            26892 |            92.92 |
| creation.n                   |       2 |            26894 |            92.93 |
| contend.v                    |       2 |            26896 |            92.93 |
| contract.v                   |       2 |            26898 |            92.94 |
| contrary.a                   |       2 |            26900 |            92.95 |
| contravene.v                 |       2 |            26902 |            92.95 |
| convey.v                     |       2 |            26904 |            92.96 |
| cook.v                       |       2 |            26906 |            92.97 |
| core.n                       |       2 |            26908 |            92.98 |
| corporation.n                |       2 |            26910 |            92.98 |
| corps.n                      |       2 |            26912 |            92.99 |
| correctness.n                |       2 |            26914 |            93    |
| corroborate.v                |       2 |            26916 |            93    |
| transformation.n             |       2 |            26918 |            93.01 |
| transform.v                  |       2 |            26920 |            93.02 |
| crowd.n                      |       2 |            26922 |            93.02 |
| decorated.a                  |       2 |            26924 |            93.03 |
| cruel.a                      |       2 |            26926 |            93.04 |
| cruise.n                     |       2 |            26928 |            93.04 |
| cry.n                        |       2 |            26930 |            93.05 |
| cure.v                       |       2 |            26932 |            93.06 |
| trade.v                      |       2 |            26934 |            93.07 |
| track.n                      |       2 |            26936 |            93.07 |
| dance.v                      |       2 |            26938 |            93.08 |
| dark.a                       |       2 |            26940 |            93.09 |
| tough.a                      |       2 |            26942 |            93.09 |
| debate.v                     |       2 |            26944 |            93.1  |
| deceased.a                   |       2 |            26946 |            93.11 |
| toss.v                       |       2 |            26948 |            93.11 |
| torture.v                    |       2 |            26950 |            93.12 |
| therapeutic.a                |       2 |            26952 |            93.13 |
| thanks.n                     |       2 |            26954 |            93.13 |
| construction [entity].n      |       2 |            26956 |            93.14 |
| summon.v                     |       2 |            26958 |            93.15 |
| explanation.n                |       2 |            26960 |            93.16 |
| extract.v                    |       2 |            26962 |            93.16 |
| extradite.v                  |       2 |            26964 |            93.17 |
| extradition.n                |       2 |            26966 |            93.18 |
| extraordinary.a              |       2 |            26968 |            93.18 |
| faint.v                      |       2 |            26970 |            93.19 |
| fair.n                       |       2 |            26972 |            93.2  |
| faithful.n                   |       2 |            26974 |            93.2  |
| far left.n                   |       2 |            26976 |            93.21 |
| far-left.n                   |       2 |            26978 |            93.22 |
| farming.n                    |       2 |            26980 |            93.22 |
| fashion.v                    |       2 |            26982 |            93.23 |
| fashionable.a                |       2 |            26984 |            93.24 |
| fate.n                       |       2 |            26986 |            93.24 |
| execution.n                  |       2 |            26988 |            93.25 |
| favor.v                      |       2 |            26990 |            93.26 |
| fear.n                       |       2 |            26992 |            93.27 |
| feed.v                       |       2 |            26994 |            93.27 |
| ferry.v                      |       2 |            26996 |            93.28 |
| suicide.n                    |       2 |            26998 |            93.29 |
| fiasco.n                     |       2 |            27000 |            93.29 |
| fight.n                      |       2 |            27002 |            93.3  |
| file.v                       |       2 |            27004 |            93.31 |
| finding.n                    |       2 |            27006 |            93.31 |
| finger.n                     |       2 |            27008 |            93.32 |
| finished.a                   |       2 |            27010 |            93.33 |
| fire department.n            |       2 |            27012 |            93.33 |
| fissile.a                    |       2 |            27014 |            93.34 |
| exhilarating.a               |       2 |            27016 |            93.35 |
| execute.v                    |       2 |            27018 |            93.36 |
| donation.n                   |       2 |            27020 |            93.36 |
| taxi.n                       |       2 |            27022 |            93.37 |
| terrorize.v                  |       2 |            27024 |            93.38 |
| drag.v                       |       2 |            27026 |            93.38 |
| maintenance.n                |       2 |            27028 |            93.39 |
| tent.n                       |       2 |            27030 |            93.4  |
| drug.v                       |       2 |            27032 |            93.4  |
| dry.v                        |       2 |            27034 |            93.41 |
| dub.v                        |       2 |            27036 |            93.42 |
| dusk.n                       |       2 |            27038 |            93.42 |
| dutch.a                      |       2 |            27040 |            93.43 |
| dynamite.n                   |       2 |            27042 |            93.44 |
| earlier.a                    |       2 |            27044 |            93.45 |
| technique.n                  |       2 |            27046 |            93.45 |
| editorial.n                  |       2 |            27048 |            93.46 |
| elect.v                      |       2 |            27050 |            93.47 |
| suspect.a                    |       2 |            27052 |            93.47 |
| electric.a                   |       2 |            27054 |            93.48 |
| electrical.a                 |       2 |            27056 |            93.49 |
| elimination.n                |       2 |            27058 |            93.49 |
| tall.a                       |       2 |            27060 |            93.5  |
| empty.a                      |       2 |            27062 |            93.51 |
| endanger.v                   |       2 |            27064 |            93.51 |
| syrian.a                     |       2 |            27066 |            93.52 |
| entry.n                      |       2 |            27068 |            93.53 |
| esteem.n                     |       2 |            27070 |            93.54 |
| swim.v                       |       2 |            27072 |            93.54 |
| swarm.n                      |       2 |            27074 |            93.55 |
| evil.a                       |       2 |            27076 |            93.56 |
| evoke.v                      |       2 |            27078 |            93.56 |
| container.n                  |       2 |            27080 |            93.57 |
| constantly.adv               |       2 |            27082 |            93.58 |
| flavour.n                    |       2 |            27084 |            93.58 |
| atropine.n                   |       2 |            27086 |            93.59 |
| archaeologist.n              |       2 |            27088 |            93.6  |
| arise.v                      |       2 |            27090 |            93.6  |
| arm.n                        |       2 |            27092 |            93.61 |
| armed forces.n               |       2 |            27094 |            93.62 |
| arson.n                      |       2 |            27096 |            93.62 |
| while.scon                   |       2 |            27098 |            93.63 |
| ascend.v                     |       2 |            27100 |            93.64 |
| aspect.n                     |       2 |            27102 |            93.65 |
| aspiration.n                 |       2 |            27104 |            93.65 |
| west.prep                    |       2 |            27106 |            93.66 |
| west.adv                     |       2 |            27108 |            93.67 |
| weird.a                      |       2 |            27110 |            93.67 |
| atrocious.a                  |       2 |            27112 |            93.68 |
| average.a                    |       2 |            27114 |            93.69 |
| answer.n                     |       2 |            27116 |            93.69 |
| weaken.v                     |       2 |            27118 |            93.7  |
| wave.n                       |       2 |            27120 |            93.71 |
| bang.n                       |       2 |            27122 |            93.71 |
| battle.v                     |       2 |            27124 |            93.72 |
| warm.a                       |       2 |            27126 |            93.73 |
| bear.v                       |       2 |            27128 |            93.74 |
| beat.n                       |       2 |            27130 |            93.74 |
| belongings.n                 |       2 |            27132 |            93.75 |
| beneath.prep                 |       2 |            27134 |            93.76 |
| beside.prep                  |       2 |            27136 |            93.76 |
| beyond.prep                  |       2 |            27138 |            93.77 |
| bias.n                       |       2 |            27140 |            93.78 |
| bike.n                       |       2 |            27142 |            93.78 |
| answer.v                     |       2 |            27144 |            93.79 |
| ambush.n                     |       2 |            27146 |            93.8  |
| bioterrorism.n               |       2 |            27148 |            93.8  |
| accident.n                   |       2 |            27150 |            93.81 |
| English.n                    |       2 |            27152 |            93.82 |
| youth.n                      |       2 |            27154 |            93.83 |
| Irish.n                      |       2 |            27156 |            93.83 |
| March.n                      |       2 |            27158 |            93.84 |
| October.n                    |       2 |            27160 |            93.85 |
| Scud-B.n                     |       2 |            27162 |            93.85 |
| yellowcake.n                 |       2 |            27164 |            93.86 |
| a bit.n                      |       2 |            27166 |            93.87 |
| a little.n                   |       2 |            27168 |            93.87 |
| a while.n                    |       2 |            27170 |            93.88 |
| abide (by).v                 |       2 |            27172 |            93.89 |
| wound.v                      |       2 |            27174 |            93.89 |
| absurd.a                     |       2 |            27176 |            93.9  |
| acclaim.v                    |       2 |            27178 |            93.91 |
| amazing.a                    |       2 |            27180 |            93.92 |
| accomplishment.n             |       2 |            27182 |            93.92 |
| accord.n                     |       2 |            27184 |            93.93 |
| accurate.a                   |       2 |            27186 |            93.94 |
| actual.a                     |       2 |            27188 |            93.94 |
| adjacent.a                   |       2 |            27190 |            93.95 |
| administer.v                 |       2 |            27192 |            93.96 |
| admire.v                     |       2 |            27194 |            93.96 |
| advance.n                    |       2 |            27196 |            93.97 |
| air force.n                  |       2 |            27198 |            93.98 |
| winner.n                     |       2 |            27200 |            93.98 |
| alcoholic.n                  |       2 |            27202 |            93.99 |
| alert.a                      |       2 |            27204 |            94    |
| alter.v                      |       2 |            27206 |            94.01 |
| billions.n                   |       2 |            27208 |            94.01 |
| visa.n                       |       2 |            27210 |            94.02 |
| consolidate.v                |       2 |            27212 |            94.03 |
| tyrant.n                     |       2 |            27214 |            94.03 |
| clothes.n                    |       2 |            27216 |            94.04 |
| coastal.a                    |       2 |            27218 |            94.05 |
| coil.n                       |       2 |            27220 |            94.05 |
| coincide.v                   |       2 |            27222 |            94.06 |
| cold.a                       |       2 |            27224 |            94.07 |
| color.n                      |       2 |            27226 |            94.07 |
| come (across).v              |       2 |            27228 |            94.08 |
| come from.v                  |       2 |            27230 |            94.09 |
| come to a end.v              |       2 |            27232 |            94.09 |
| command.v                    |       2 |            27234 |            94.1  |
| commerce.n                   |       2 |            27236 |            94.11 |
| ultimately.adv               |       2 |            27238 |            94.12 |
| competent.a                  |       2 |            27240 |            94.12 |
| comply.v                     |       2 |            27242 |            94.13 |
| climate.n                    |       2 |            27244 |            94.14 |
| twist.v                      |       2 |            27246 |            94.14 |
| concern.v                    |       2 |            27248 |            94.15 |
| twice.adv                    |       2 |            27250 |            94.16 |
| conclusion.n                 |       2 |            27252 |            94.16 |
| condemn.v                    |       2 |            27254 |            94.17 |
| twelve.num                   |       2 |            27256 |            94.18 |
| confine.v                    |       2 |            27258 |            94.18 |
| turn out.v                   |       2 |            27260 |            94.19 |
| turkish.a                    |       2 |            27262 |            94.2  |
| confrontation.n              |       2 |            27264 |            94.21 |
| connect.v                    |       2 |            27266 |            94.21 |
| connected.a                  |       2 |            27268 |            94.22 |
| considerable.a               |       2 |            27270 |            94.23 |
| climb.v                      |       2 |            27272 |            94.23 |
| unexpected.a                 |       2 |            27274 |            94.24 |
| bless.v                      |       2 |            27276 |            94.25 |
| carriage.n                   |       2 |            27278 |            94.25 |
| bond.n                       |       2 |            27280 |            94.26 |
| bottom.n                     |       2 |            27282 |            94.27 |
| box.n                        |       2 |            27284 |            94.27 |
| breast.n                     |       2 |            27286 |            94.28 |
| verifiable.a                 |       2 |            27288 |            94.29 |
| venue.n                      |       2 |            27290 |            94.3  |
| brochure.n                   |       2 |            27292 |            94.3  |
| value.n                      |       2 |            27294 |            94.31 |
| valuable.a                   |       2 |            27296 |            94.32 |
| can.n                        |       2 |            27298 |            94.32 |
| canal.n                      |       2 |            27300 |            94.33 |
| cancer.n                     |       2 |            27302 |            94.34 |
| capture.v                    |       2 |            27304 |            94.34 |
| carve.v                      |       2 |            27306 |            94.35 |
| clear.v                      |       2 |            27308 |            94.36 |
| cater.v                      |       2 |            27310 |            94.36 |
| causative.a                  |       2 |            27312 |            94.37 |
| uprising.n                   |       2 |            27314 |            94.38 |
| up.prep                      |       2 |            27316 |            94.39 |
| unsuitable.a                 |       2 |            27318 |            94.39 |
| chapel.n                     |       2 |            27320 |            94.4  |
| unscrupulous.a               |       2 |            27322 |            94.41 |
| chicken.n                    |       2 |            27324 |            94.41 |
| choice.n                     |       2 |            27326 |            94.42 |
| unlike.prep                  |       2 |            27328 |            94.43 |
| circle.n                     |       2 |            27330 |            94.43 |
| circular.a                   |       2 |            27332 |            94.44 |
| union.n                      |       2 |            27334 |            94.45 |
| flat.n                       |       2 |            27336 |            94.45 |
| term.v                       |       2 |            27338 |            94.46 |
| song.n                       |       2 |            27340 |            94.47 |
| houseboat.n                  |       2 |            27342 |            94.47 |
| sleep.v                      |       2 |            27344 |            94.48 |
| somewhat.adv                 |       2 |            27346 |            94.49 |
| grounds.n                    |       2 |            27348 |            94.5  |
| judge.n                      |       2 |            27350 |            94.5  |
| left.a                       |       2 |            27352 |            94.51 |
| sooner rather than later.adv |       2 |            27354 |            94.52 |
| signature.a                  |       2 |            27356 |            94.52 |
| instruction.n                |       2 |            27358 |            94.53 |
| hot.a                        |       2 |            27360 |            94.54 |
| gardener.n                   |       2 |            27362 |            94.54 |
| host.v                       |       2 |            27364 |            94.55 |
| lawyer.n                     |       2 |            27366 |            94.56 |
| garment.n                    |       2 |            27368 |            94.56 |
| hospitalization.n            |       2 |            27370 |            94.57 |
| journal.n                    |       2 |            27372 |            94.58 |
| hurt.v                       |       2 |            27374 |            94.59 |
| length.n                     |       2 |            27376 |            94.59 |
| ideal.a                      |       2 |            27378 |            94.6  |
| identity.n                   |       2 |            27380 |            94.61 |
| sit up.v                     |       2 |            27382 |            94.61 |
| guaranteed.a                 |       2 |            27384 |            94.62 |
| let know.v                   |       2 |            27386 |            94.63 |
| ignorance.n                  |       2 |            27388 |            94.63 |
| future.a                     |       2 |            27390 |            94.64 |
| library.n                    |       2 |            27392 |            94.65 |
| guard.v                      |       2 |            27394 |            94.65 |
| hatred.n                     |       2 |            27396 |            94.66 |
| guess.n                      |       2 |            27398 |            94.67 |
| illness.n                    |       2 |            27400 |            94.68 |
| illustrate.v                 |       2 |            27402 |            94.68 |
| fuel.v                       |       2 |            27404 |            94.69 |
| gas mask.n                   |       2 |            27406 |            94.7  |
| step up.v                    |       2 |            27408 |            94.7  |
| general.n                    |       2 |            27410 |            94.71 |
| hike.v                       |       2 |            27412 |            94.72 |
| stairs.n                     |       2 |            27414 |            94.72 |
| heavy.a                      |       2 |            27416 |            94.73 |
| justify.v                    |       2 |            27418 |            94.74 |
| helicopter.n                 |       2 |            27420 |            94.74 |
| kilogram.n                   |       2 |            27422 |            94.75 |
| green.n                      |       2 |            27424 |            94.76 |
| gray.a                       |       2 |            27426 |            94.77 |
| interior.n                   |       2 |            27428 |            94.77 |
| south.prep                   |       2 |            27430 |            94.78 |
| heavily.adv                  |       2 |            27432 |            94.79 |
| hidden.a                     |       2 |            27434 |            94.79 |
| hike.n                       |       2 |            27436 |            94.8  |
| gram.n                       |       2 |            27438 |            94.81 |
| graduate.n                   |       2 |            27440 |            94.81 |
| knowledgeable.a              |       2 |            27442 |            94.82 |
| sit down.v                   |       2 |            27444 |            94.83 |
| jump.v                       |       2 |            27446 |            94.83 |
| hold off.v                   |       2 |            27448 |            94.84 |
| govern.v                     |       2 |            27450 |            94.85 |
| sort.n                       |       2 |            27452 |            94.86 |
| star.n                       |       2 |            27454 |            94.86 |
| stare.v                      |       2 |            27456 |            94.87 |
| sister.n                     |       2 |            27458 |            94.88 |
| hospitality.n                |       2 |            27460 |            94.88 |
| starve.v                     |       2 |            27462 |            94.89 |
| lasting.a                    |       2 |            27464 |            94.9  |
| glance.v                     |       2 |            27466 |            94.9  |
| glad.a                       |       2 |            27468 |            94.91 |
| intent.a                     |       2 |            27470 |            94.92 |
| intelligent.a                |       2 |            27472 |            94.92 |
| like.a                       |       2 |            27474 |            94.93 |
| fulfillment.n                |       2 |            27476 |            94.94 |
| smuggling.n                  |       2 |            27478 |            94.94 |
| injure.v                     |       2 |            27480 |            94.95 |
| hand.v                       |       2 |            27482 |            94.96 |
| jobless.a                    |       2 |            27484 |            94.97 |
| forget.v                     |       2 |            27486 |            94.97 |
| inch.n                       |       2 |            27488 |            94.98 |
| shower.v                     |       2 |            27490 |            94.99 |
| handful.n                    |       2 |            27492 |            94.99 |
| invasion.n                   |       2 |            27494 |            95    |
| inquiry.n                    |       2 |            27496 |            95.01 |
| lovely.a                     |       2 |            27498 |            95.01 |
| slow.a                       |       2 |            27500 |            95.02 |
| struggle.v                   |       2 |            27502 |            95.03 |
| for.prep                     |       2 |            27504 |            95.03 |
| inlet.n                      |       2 |            27506 |            95.04 |
| folk.n                       |       2 |            27508 |            95.05 |
| splendid.a                   |       2 |            27510 |            95.06 |
| fort.n                       |       2 |            27512 |            95.06 |
| subject.n                    |       2 |            27514 |            95.07 |
| submarine.n                  |       2 |            27516 |            95.08 |
| independence.n               |       2 |            27518 |            95.08 |
| indictment.n                 |       2 |            27520 |            95.09 |
| irrational.a                 |       2 |            27522 |            95.1  |
| invent.v                     |       2 |            27524 |            95.1  |
| magic.n                      |       2 |            27526 |            95.11 |
| flight.n                     |       2 |            27528 |            95.12 |
| infiltration.n               |       2 |            27530 |            95.12 |
| flight-test.v                |       2 |            27532 |            95.13 |
| shoreline.n                  |       2 |            27534 |            95.14 |
| mail.n                       |       2 |            27536 |            95.15 |
| mainland.n                   |       2 |            27538 |            95.15 |
| infection.n                  |       2 |            27540 |            95.16 |
| formulate.v                  |       2 |            27542 |            95.17 |
| jungle.n                     |       2 |            27544 |            95.17 |
| slip.v                       |       2 |            27546 |            95.18 |
| friendship.n                 |       2 |            27548 |            95.19 |
| instance.n                   |       2 |            27550 |            95.19 |
| inspire.v                    |       2 |            27552 |            95.2  |
| jail.n                       |       2 |            27554 |            95.21 |
| hair.n                       |       2 |            27556 |            95.21 |
| italian.a                    |       2 |            27558 |            95.22 |
| inspect.v                    |       2 |            27560 |            95.23 |
| skin.n                       |       2 |            27562 |            95.24 |
| stranger.n                   |       2 |            27564 |            95.24 |
| fortify.v                    |       2 |            27566 |            95.25 |
| improved.a                   |       2 |            27568 |            95.26 |
| gunman.n                     |       2 |            27570 |            95.26 |
| lobby.n                      |       2 |            27572 |            95.27 |
| local.n                      |       2 |            27574 |            95.28 |
| frighten.v                   |       2 |            27576 |            95.28 |
| strengthen.v                 |       2 |            27578 |            95.29 |
| locate.v                     |       2 |            27580 |            95.3  |
| in favor.prep                |       2 |            27582 |            95.3  |
| in terms.idio                |       2 |            27584 |            95.31 |
| stretch.v                    |       2 |            27586 |            95.32 |
| strict.a                     |       2 |            27588 |            95.32 |
| spring up.v                  |       2 |            27590 |            95.33 |
| strife.n                     |       2 |            27592 |            95.34 |
| hate.v                       |       2 |            27594 |            95.35 |
| storm.v                      |       2 |            27596 |            95.35 |
| value.v                      |       1 |            27597 |            95.36 |
| skilful.a                    |       1 |            27598 |            95.36 |
| skip.v                       |       1 |            27599 |            95.36 |
| skilled.a                    |       1 |            27600 |            95.37 |
| skim.v                       |       1 |            27601 |            95.37 |
| variable.n                   |       1 |            27602 |            95.37 |
| viceroy.n                    |       1 |            27603 |            95.38 |
